"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_chatBot.js", "JavaScript", 0, -49, -6, -15, -70
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_codeReview.js", "JavaScript", 0, -42, -5, -13, -60
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_commitMessage.js", "JavaScript", 0, -27, -1, -9, -37
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_mockData.js", "JavaScript", 0, -31, -1, -9, -41
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_ownChatBot.js", "JavaScript", 0, -27, -2, -4, -33
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_unitTest.js", "JavaScript", 0, -47, -5, -11, -63
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_websiteGenerator.js", "JavaScript", 0, -16, 0, -6, -22
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\styles\Home.Dashboard.module.css", "CSS", 50, 0, 1, 17, 68
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\styles\Home.module.css", "CSS", 192, 0, 10, 20, 222
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\styles\LoadingSpinner.module.css", "CSS", 19, 0, 1, 3, 23
"Total", "-", 261, -239, -8, -27, -13